Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Sink,SnkDumpSite,InputBuffer,Throughput,NumberEntered,Total,448.8,433,463,6.614604399,9.247221805
Scenario1,Sink,SnkDumpSite,InputBuffer,Throughput,NumberExited,Total,448.8,433,463,6.614604399,9.247221805
Scenario1,ModelEntity,Recycle,[Population],FlowTime,TimeInSystem,Average (Minutes),28.33368663,20.46144112,34.68326372,3.51823916,4.918500927
Scenario1,Sink,SnkNotCollected,[DestroyedEntities],FlowTime,TimeInSystem,Maximum (Minutes),119.6627783,42.16896016,219.5439096,45.66304108,63.83696494
Scenario1,Sink,SnkNotCollected,[DestroyedEntities],FlowTime,TimeInSystem,Minimum (Minutes),4.710987203,3.25190019,7.605538276,1.00438794,1.404135077
Scenario1,Sink,SnkNotCollected,[DestroyedEntities],FlowTime,TimeInSystem,Observations,20.7,14,28,3.648144674,5.100108931
Scenario1,Sink,SnkNotCollected,InputBuffer,Throughput,NumberEntered,Total,20.7,14,28,3.648144674,5.100108931
Scenario1,Sink,SnkNotCollected,InputBuffer,Throughput,NumberExited,Total,20.7,14,28,3.648144674,5.100108931
Scenario1,Source,SrcCurbSide,OutputBuffer,Content,NumberInStation,Average,0.000659121,0.000374083,0.001139974,0.000152399,0.000213054
Scenario1,Source,SrcCurbSide,OutputBuffer,Content,NumberInStation,Maximum,1.4,1,2,0.369383053,0.516397779
Scenario1,Source,SrcCurbSide,OutputBuffer,Content,NumberInStation,Minimum,0,0,0,0,0
Scenario1,Source,SrcCurbSide,OutputBuffer,HoldingTime,TimeInStation,Average (Minutes),0.000333821,0.000179848,0.00058162,7.93E-05,0.000110815
Scenario1,Source,SrcCurbSide,OutputBuffer,HoldingTime,TimeInStation,Maximum (Minutes),0.018695786,0.015710841,0.023803416,0.00188958,0.002641634
Scenario1,Source,SrcCurbSide,OutputBuffer,HoldingTime,TimeInStation,Minimum (Minutes),0,0,0,0,0
Scenario1,Source,SrcCurbSide,OutputBuffer,Throughput,NumberEntered,Total,594.5,576,624,11.37140995,15.89723945
Scenario1,Source,SrcCurbSide,OutputBuffer,Throughput,NumberExited,Total,594.5,576,624,11.37140995,15.89723945
Scenario1,Source,SrcCurbSide,Processing,Throughput,NumberEntered,Total,594.5,576,624,11.37140995,15.89723945
Scenario1,Source,SrcCurbSide,Processing,Throughput,NumberExited,Total,594.5,576,624,11.37140995,15.89723945
