Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,5,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,6,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,7,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,8,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,9,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,10,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Maximum,1
Scenario1,1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,2,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,3,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,4,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,5,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,6,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,7,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,8,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,9,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,10,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Minimum,1
Scenario1,1,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,331
Scenario1,2,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,330
Scenario1,3,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,317
Scenario1,4,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,313
Scenario1,5,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,309
Scenario1,6,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,319
Scenario1,7,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,317
Scenario1,8,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,319
Scenario1,9,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,309
Scenario1,10,Model,Model,Collected_Refuse,UserSpecified,TallyValue,Observations,323
Scenario1,1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,NaN
Scenario1,7,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Missed_Organics,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,3,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,4,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,5,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,6,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,7,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,8,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,9,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,10,Model,Model,Missed_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,2,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,3,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,4,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,5,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,6,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,NaN
Scenario1,7,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,8,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,9,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,10,Model,Model,Missed_Organics,UserSpecified,TallyValue,Maximum,1
Scenario1,1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
